,input,input_lemma,input_pos,target
1444,каким образом этот самый офицер и дворянин дружески пирует с бунтовщиками принимает от главного злодея подарки шубу лошадь и полтину денег,какой образ этот самый офицер и дворянин дружески пировать с бунтовщик принимать от главный злодей подарок шуба лошадь и полтина деньга,DET NOUN DET ADJ NOUN CCONJ NOUN ADV VERB ADP NOUN VERB ADP ADJ NOUN NOUN NOUN NOUN CCONJ NOUN NOUN,S S S S S S S S S S C S S S S C C S S S Q
1445,отчего произошла такая странная дружба и на чем она основана если не на измене или по крайней мере на гнусном и преступном малодушии,отчего произойти такой странный дружба и на что она основать если не на измена или по крайний мера на гнусный и преступный малодушии,ADV VERB DET ADJ NOUN CCONJ ADP PRON PRON VERB SCONJ PART ADP NOUN CCONJ ADP ADJ NOUN ADP ADJ CCONJ NOUN ADJ,S S S S S S S S S C S S S S S S S S S S S S Q
1446,я рассказал как началось мое знакомство с пугачевым в степи во время бурана как при взятии белогорской крепости он меня узнал и пощадил,я рассказать как начаться мой знакомство с пугачев в степь в время буран как при взятие белогорский крепость он я узнать и пощадить,PRON VERB SCONJ VERB DET NOUN ADP NOUN ADP NOUN ADP NOUN NOUN SCONJ ADP NOUN ADJ NOUN PRON PRON VERB CCONJ VERB,S C S S S S S S S C S S C S S S S S S S S S P
1447,я сказал что тулуп и лошадь правда не посовестился я принять от самозванца но что белогорскую крепость защищал я противу злодея до последней крайности,я сказать что тулуп и лошадь правда не посовеститься я принять от самозванец но что белогорский крепость защищать я противу злодей до последний крайность,PRON VERB SCONJ NOUN CCONJ NOUN ADV PART VERB PRON VERB ADP NOUN CCONJ SCONJ ADJ NOUN VERB PRON ADJ NOUN ADP ADJ NOUN,S C S S S C C S S S S S C S S S S S S S S S S P
1448,наконец я сослался и на моего генерала который мог засвидетельствовать мое усердие во время бедственной оренбургской осады,наконец я сослаться и на мой генерал который мочь засвидетельствовать мой усердие в время бедственный оренбургский осада,ADV PRON VERB CCONJ ADP DET NOUN PRON VERB VERB DET NOUN ADP NOUN ADJ ADJ NOUN,S S S S S S C S S S S S S S S S P
1449,тут он прервал свое чтение и сказал мне сурово что ты теперь скажешь себе в оправдание,тут он прервать свой чтение и сказать я сурово что ты теперь сказать себя в оправдание,ADV PRON VERB DET NOUN CCONJ VERB PRON ADV SCONJ PRON ADV VERB PRON ADP NOUN,S S S S S S S S C S S S S S S Q
1450,я хотел было продолжать как начал и объяснить мою связь с марьей ивановной так же искренно как и все прочее,я хотеть быть продолжать как начать и объяснить мой связь с марья иванович так же искренно как и весь прочий,PRON VERB AUX VERB SCONJ VERB CCONJ VERB DET NOUN ADP ADJ NOUN ADV PART ADV SCONJ PART PRON ADJ,S S S C S C S S S S S S S S S C S S S P
1451,судьи мои начинавшие казалось выслушивать ответы мои с некоторою благосклонностию были снова предубеждены противу меня при виде моего смущения,судья мой начинать казалось выслушивать ответ мой с некотора благосклонность быть снова предубедить противу я при вид мой смущение,NOUN DET NOUN ADV VERB NOUN DET ADP ADJ NOUN AUX ADV VERB VERB PRON ADP NOUN DET NOUN,S C C C S S S S S C S S S S S S S S P
1452,гвардейский офицер потребовал чтоб меня поставили на очную ставку с главным доносителем,гвардейский офицер потребовать чтоб я поставить на очный ставка с главный доноситель,ADJ NOUN VERB SCONJ PRON VERB ADP ADJ NOUN ADP ADJ ADJ,S S C S S S S S S S S P
1453,я с живостию обратился к дверям ожидая появления своего обвинителя,я с живость обратиться к дверь ожидая появление свой обвинитель,PRON ADP NOUN VERB ADP NOUN ADV NOUN DET ADJ,S S S S S C S S S P
1454,через несколько минут загремели цепи двери отворились и вошел швабрин,через несколько минута загреметь цепь дверь отворились и войти швабрин,ADP NUM NOUN VERB NOUN NOUN NOUN CCONJ VERB NOUN,S S S S C S C S C P
1455,волоса его недавно черные как смоль совершенно поседели длинная борода была всклокочена,волос он недавно черный как смоль совершенно поседели длинный борода быть всклокочить,NOUN PRON ADV ADJ SCONJ ADJ ADV ADJ ADJ NOUN AUX VERB,S C S S S C S C S S S P
1456,он повторил обвинения свои слабым но смелым голосом,он повторить обвинение свой слабый но смелый голос,PRON VERB NOUN DET ADJ CCONJ ADJ NOUN,S S S S C S S P
1457,я спокойно взглянул на швабрина но не сказал ему ни слова,я спокойно взглянуть на швабрин но не сказать он ни слово,PRON ADV VERB ADP NOUN CCONJ PART VERB PRON PART NOUN,S S S S C S S S S S P
1458,он усмехнулся злобной усмешкою и приподняв свои цепи опередил меня и ускорил свои шаги,он усмехнуться злобный усмешка и приподнять свой цепь опередить я и ускорить свой шаг,PRON VERB ADJ NOUN CCONJ VERB DET NOUN VERB PRON CCONJ VERB DET NOUN,S S S S C S S C S S S S S P
1459,марья ивановна принята была моими родителями с тем искренним радушием которое отличало людей старого века,марья иванович принять быть мой родитель с тот искренний радушие который отличать человек старый век,NOUN NOUN VERB AUX DET NOUN ADP PRON ADJ ADJ PRON VERB NOUN ADJ NOUN,S S S S S S S S S C S S S S P
1460,они видели благодать божию в том что имели случай приютить и обласкать бедную сироту,они видеть благодать божий в тот что иметь случай приютить и обласкать бедный сирота,PRON VERB NOUN NOUN ADP PRON SCONJ VERB NOUN VERB CCONJ ADJ ADJ NOUN,S S S S S C S S S S S S S P
1461,вскоре они к ней искренно привязались потому что нельзя было ее узнать и не полюбить,вскоре они к она искренно привязаться потому что нельзя быть она узнать и не полюбить,ADV PRON ADP PRON ADV VERB ADV SCONJ ADV AUX PRON VERB CCONJ PART VERB,S S S S S C S S S S S S S S P
1462,моя любовь уже не казалась батюшке пустою блажью а матушка только того и желала чтоб ее петруша женился на милой капитанской дочке,мой любовь уже не казаться батюшка пустой блажь а матушка только тот и желать чтоб ее петруша жениться на милый капитанский дочка,DET NOUN ADV PART VERB NOUN ADJ NOUN CCONJ NOUN PART PRON PART VERB SCONJ DET NOUN VERB ADP ADJ ADJ NOUN,S S S S S S S C S S S S S C S S S S S S S P
1463,батюшка не хотел верить чтобы я мог быть замешан в гнусном бунте коего цель была ниспровержение престола и истребление дворянского рода,батюшка не хотеть верить чтобы я мочь быть замешать в гнусный бунт кой цель быть ниспровержение престол и истребление дворянский род,NOUN PART VERB VERB SCONJ PRON VERB AUX ADJ ADP ADJ NOUN NOUN NOUN AUX VERB NOUN CCONJ NOUN ADJ NOUN,S S S C S S S S S S S C S S S S S S S S P
1464,марья ивановна сильно была встревожена но молчала ибо в высшей степени была одарена скромностию и осторожностию,марья иванович сильно быть встревожить но молчать ибо в высокий степень быть одарить скромность и осторожность,NOUN NOUN ADV AUX VERB CCONJ VERB SCONJ ADP ADJ NOUN AUX VERB NOUN CCONJ NOUN,S S S S C S C S S S S S S S S P
1465,он лишился обыкновенной своей твердости и горесть его изливалась в горьких жалобах,он лишиться обыкновенный свой твердость и горесть он изливаться в горький жалоба,PRON VERB ADJ DET NOUN CCONJ NOUN PRON NOUN ADP ADJ NOUN,S S S S C S S S S S S P
1466,как повторял он выходя из себя,как повторять он выходить из себя,SCONJ VERB PRON VERB ADP PRON,C S C S S P
1467,боже праведный до чего я дожил,бог праведный до что я дожить,NOUN NOUN ADP PRON PRON VERB,S C S S S EX
1468,не казнь страшна пращур мой умер на лобном месте отстаивая то что почитал святынею своей совести отец мой пострадал вместе с волынским и хрущевым,не казнь страшный пращур мой умереть на лобный место отстаивать тот что почитать святыня свой совесть отец мой пострадать вместе с волынский и хрущев,PART NOUN ADJ ADJ DET VERB ADP ADJ NOUN VERB PRON SCONJ VERB NOUN DET NOUN NOUN DET VERB ADV ADP NOUN CCONJ NOUN,S S C S S S S S C S C S S S S C S S S S S S S P
1469,но дворянину изменить своей присяге соединиться с разбойниками с убийцами с беглыми холопьями,но дворянин изменить свой присяга соединиться с разбойник с убийца с беглый холопие,CCONJ VERB VERB DET NOUN VERB ADP NOUN ADP NOUN ADP ADJ NOUN,S S S S C S S C S C S S EX
1470,испуганная его отчаянием матушка не смела при нем плакать и старалась возвратить ему бодрость говоря о неверности молвы о шаткости людского мнения,испугать он отчаяние матушка не смести при оно плакать и стараться возвратить он бодрость говорить о неверность молва о шаткость людской мнение,VERB PRON NOUN NOUN PART VERB ADP PRON VERB CCONJ VERB VERB PRON NOUN VERB ADP NOUN NOUN ADP NOUN ADJ NOUN,S S S S S S S S S S S S S C S S S C S S S P
1471,будучи уверена что я мог оправдаться когда бы только захотел она догадывалась об истине и почитала себя виновницею моего несчастия,быть уверить что я мочь оправдаться когда бы только захотеть она догадываться о истина и почитать себя виновница мой несчастие,AUX ADJ SCONJ PRON VERB VERB ADV AUX PART VERB PRON VERB ADP NOUN CCONJ VERB PRON NOUN DET NOUN,S C S S S C S S S C S S S S S S S S S P
1472,она скрывала от всех свои слезы и страдания и между тем непрестанно думала о средствах как бы меня спасти,она скрывать от весь свой слеза и страдание и между тот непрестанный думать о средство как бы я спасти,PRON VERB ADP PRON DET NOUN CCONJ NOUN CCONJ ADP PRON VERB VERB ADP NOUN SCONJ PART PRON VERB,S S S S S S S S S S S S S S C S S S P
1473,однажды вечером батюшка сидел на диване перевертывая листы придворного календаря но мысли его были далеко и чтение не производило над ним обыкновенного своего действия,однажды вечер батюшка сидеть на диван перевертывать лист придворный календарь но мысль его быть далеко и чтение не производить над он обыкновенный свой действие,ADV NOUN NOUN VERB ADP NOUN VERB NOUN ADJ NOUN CCONJ NOUN DET AUX ADV CCONJ NOUN PART VERB ADP PRON ADJ DET NOUN,S S S S S C S S S C S S S S C S S S S S S S S P
1474,матушка молча вязала шерстяную фуфайку и слезы изредка капали на ее работу,матушка молча вязать шерстяной фуфайка и слеза изредка капать на ее работа,NOUN ADV VERB ADJ NOUN CCONJ NOUN ADV VERB ADP DET NOUN,S S S S C S S S S S S P
1475,вдруг марья ивановна тут же сидевшая за работой объявила что необходимость ее заставляет ехать в петербург и что она просит дать ей способ отправиться,вдруг марья иванович тут же сидеть за работа объявить что необходимость она заставлять ехать в петербург и что она просить дать она способ отправиться,ADV NOUN VERB ADV PART VERB ADP NOUN VERB SCONJ NOUN PRON VERB VERB ADP NOUN CCONJ SCONJ PRON VERB VERB PRON NOUN VERB,S S C S S S S C C S S S S S S S S S S S S S S P
1476,зачем тебе в петербург сказала она,зачем ты в петербург сказать она,ADV PRON ADP NOUN VERB PRON,S S S C S P
1477,неужто марья ивановна хочешь и ты нас покинуть,неужто марья иванович хотеть и ты мы покинуть,ADV NOUN VERB VERB CCONJ PRON PRON VERB,C S C S S S S Q
1478,отец мой потупил голову всякое слово напоминающее мнимое преступление сына было ему тягостно и казалось колким упреком,отец мой потупить голова всякий слово напоминать мнимый преступление сын быть он тягостный и казаться колкий упрек,NOUN DET VERB NOUN DET NOUN ADJ ADJ NOUN NOUN AUX PRON NOUN CCONJ VERB ADJ NOUN,S S S C S C S S S C S S S S S S P
1479,поезжай матушка сказал он ей со вздохом,поезжай матушка сказать он она с вздох,PART NOUN VERB PRON PRON ADP NOUN,C C S S S S P
1480,дай бог тебе в женихи доброго человека не ошельмованного изменника,дать бог ты в жених добрый человек не ошельмовать изменник,VERB NOUN PRON ADP NOUN ADJ NOUN PART VERB NOUN,S S S S S S C S S P
1481,марья ивановна оставшись наедине с матушкою отчасти объяснила ей свои предположения,марья иванович оставшись наедине с матушка отчасти объяснить она свой предположение,NOUN NOUN ADV ADV ADP NOUN ADV VERB PRON DET NOUN,S C S S S C S S S S P
1482,марья ивановна благополучно прибыла в софию и узнав на почтовом дворе что двор находился в то время в царском селе решилась тут остановиться,марья иванович благополучно прибыть в софия и узнать на почтовый двор что двор находиться в тот время в царский село решиться тут остановиться,NOUN NOUN ADV VERB ADP NOUN CCONJ VERB ADP ADJ NOUN SCONJ NOUN VERB ADP DET NOUN ADP ADJ NOUN VERB ADV VERB,S S S S S S C S S S C S S S S S S S S C S S P
1483,жена смотрителя тотчас с нею разговорилась объявила что она племянница придворного истопника и посвятила ее во все таинства придворной жизни,жена смотритель тотчас с она разговориться объявить что она племянница придворный истопник и посвятить она в весь таинство придворный жизнь,NOUN NOUN ADV ADP PRON NOUN VERB SCONJ PRON NOUN ADJ NOUN CCONJ VERB PRON ADP DET NOUN ADJ NOUN,S S S S S C C S S S S C S S S S S S S P
1484,анна власьевна рассказала историю каждой аллеи и каждого мостика и нагулявшись они возвратились на станцию очень довольные друг другом,анна власиевич рассказать история каждый аллея и каждый мостик и нагулявшись они возвратиться на станция очень довольный друг друг,NOUN NOUN VERB NOUN DET NOUN CCONJ DET NOUN CCONJ NOUN PRON VERB ADP NOUN ADV ADJ PRON PRON,S S S S S S S S C C C S S S S S S S P
1485,на другой день рано утром марья ивановна проснулась оделась и тихонько пошла в сад,на другой день рано утро марья иванович проснуться одеться и тихонько пойти в сад,ADP ADJ NOUN ADV NOUN NOUN NOUN VERB VERB CCONJ ADV VERB ADP NOUN,S S S S S S S C S S S S S P
1486,утро было прекрасное солнце освещало вершины лип пожелтевших уже под свежим дыханием осени,утро быть прекрасный солнце освещать вершина липа пожелтеть уже под свежий дыхание осень,NOUN AUX ADJ NOUN VERB NOUN NOUN VERB ADV ADP ADJ NOUN NOUN,S S C S S S C S S S S S P
1487,проснувшиеся лебеди важно выплывали из-под кустов осеняющих берег,проснуться лебедь важный выплывать из-под куст осенять берег,ADJ NOUN ADJ VERB ADP NOUN VERB NOUN,S S S S S C S P
1488,марья ивановна пошла около прекрасного луга где только что поставлен был памятник в честь недавних побед графа петра александровича румянцева,марья иванович пойти около прекрасный луг где только что поставить быть памятник в честь недавний победа граф петр александрович румянцев,NOUN NOUN VERB ADP ADJ NOUN ADV PART SCONJ VERB AUX NOUN ADP NOUN ADJ NOUN NOUN NOUN NOUN NOUN,S S S S S C S S S S S S S S S S S S S P
1489,в эту самую минуту раздался приятный женский голос не бойтесь она не укусит,в этот самый минута раздаться приятный женский голос не бояться она не укусить,ADP DET ADJ NOUN VERB ADJ ADJ NOUN PART VERB PRON PART VERB,S S S S S S S C S C S S P
1490,и марья ивановна увидела даму сидевшую на скамейке противу памятника,и марья иванович увидеть дама сидеть на скамейка противу памятник,CCONJ NOUN NOUN VERB NOUN VERB ADP NOUN ADJ NOUN,S S S S C S S S S P
1491,дама пристально на нее смотрела а марья ивановна со своей стороны бросив несколько косвенных взглядов успела рассмотреть ее с ног до головы,дама пристально на она смотреть а марья иванович с свой сторона бросить несколько косвенный взгляд успеть рассмотреть она с нога до голова,NOUN ADV ADP PRON VERB CCONJ NOUN NOUN ADP DET NOUN VERB NUM ADJ NOUN VERB VERB PRON ADP NOUN ADP NOUN,S S S S C S S C S S S S S S C S S S S S S P
1492,она была в белом утреннем платье в ночном чепце и в душегрейке,она быть в белый утренний платье в ночной чепец и в душегрейка,PRON AUX ADP ADJ ADJ NOUN ADP ADJ NOUN CCONJ ADP NOUN,S S S S S C S S S S S P
1493,лицо ее полное и румяное выражало важность и спокойствие а голубые глаза и легкая улыбка имели прелесть неизъяснимую,лицо она полный и румяный выражать важность и спокойствие а голубой глаз и легкий улыбка иметь прелесть неизъяснимый,NOUN PRON ADJ CCONJ NOUN VERB NOUN CCONJ NOUN CCONJ ADJ NOUN CCONJ ADJ NOUN VERB NOUN ADJ,S C S S C S S S C S S S S S S S S P
1494,вы верно не здешние сказала она,вы верно не здешний сказать она,PRON ADV PART NOUN VERB PRON,C C S C S P
1495,точно так-с я вчера только приехала из провинции,точно так-с я вчера только приехать из провинция,ADV ADJ PRON ADV PART VERB ADP NOUN,S C S S S S S P
1496,у меня нет ни отца ни матери,у я нет ни отец ни мать,ADP PRON VERB CCONJ NOUN CCONJ NOUN,S S S S C S P
1497,вы здесь конечно по каким-нибудь делам,вы здесь конечно по какой-нибудь дело,PRON ADV ADV ADP ADJ NOUN,S C C S S Q
1498,вы сирота вероятно вы жалуетесь на несправедливость и обиду,вы сирота вероятно вы жаловаться на несправедливость и обида,PRON NOUN ADV PRON VERB ADP NOUN CCONJ NOUN,S C C S S S S S Q
1499,никак нет-с я приехала просить милости а не правосудия,никак нет-с я приехать просить милость а не правосудие,ADV VERB PRON VERB VERB NOUN CCONJ PART NOUN,S S S S S C S S P
1500,позвольте спросить кто вы таковы,позвольте спросить кто вы таков,ADV VERB PRON PRON ADJ,S C S S Q
1501,капитана миронова того самого что был комендантом в одной из оренбургских крепостей,капитан миронов тот сам что быть комендант в один из оренбургский крепость,NOUN NOUN DET ADJ SCONJ AUX NOUN ADP NUM ADP ADJ NOUN,S C S C S S S S S S S Q
1502,точно так-с дама казалось была тронута,точно так-с дама казаться быть тронуть,ADV ADJ NOUN VERB AUX VERB,S S C C S P
1503,марья ивановна вынула из кармана сложенную бумагу и подала ее незнакомой своей покровительнице которая стала читать ее про себя,марья иванович вынуть из карман сложенный бумага и подать она незнакомый свой покровительница который стать читать она про себя,NOUN NOUN VERB ADP NOUN ADJ NOUN CCONJ VERB PRON ADJ DET NOUN PRON VERB VERB PRON ADP PRON,S S S S S S S S S S S S C S S S S S P
1504,вы просите за гринева сказала дама с холодным видом,вы просить за гринев сказать дама с холодный вид,PRON VERB ADP NOUN VERB NOUN ADP ADJ NOUN,S S S C S S S S P
1505,он пристал к самозванцу не из невежества и легковерия но как безнравственный и вредный негодяй,он пристать к самозванец не из невежество и легковерие но как безнравственный и вредный негодяй,PRON VERB ADP NOUN PART ADP NOUN CCONJ NOUN CCONJ SCONJ ADJ CCONJ ADJ NOUN,S S S S S S S S C S S S S S P
1506,ах неправда вскрикнула марья ивановна,ах неправда вскрикнуть марья иванович,NOUN PART ADJ NOUN NOUN,C C S S P
1507,как неправда возразила дама вся вспыхнув,как неправда возразить дама весь вспыхнув,SCONJ NOUN VERB ADJ DET NOUN,S C S C S P
1508,неправда ей-богу неправда,неправда ей-богу неправда,NOUN VERB PART,C S EX
1509,я знаю все я все вам расскажу,я знать весь я весь вы рассказать,PRON VERB PRON PRON PRON PRON VERB,S S C S S S P
1510,он для одной меня подвергался всему что постигло его,он для один я подвергаться весь что постичь он,PRON ADP DET PRON VERB DET SCONJ VERB PRON,S S S S S C S S P
1511,и если он не оправдался перед судом то разве потому только что не хотел запутать меня,и если он не оправдаться перед суд тот разве потому только что не хотеть запутать я,CCONJ SCONJ PRON PART VERB ADP NOUN PRON PART ADV PART SCONJ PART VERB VERB PRON,S S S S S S C S S S C S S S S P
1512,тут она с жаром рассказала все что уже известно моему читателю,тут она с жар рассказать весь что уже известный мой читатель,ADV PRON ADP NOUN VERB PRON SCONJ ADV ADJ DET NOUN,S S S S S C S S S S P
1513,где вы остановились спросила она потом и услыша что у анны власьевны примолвила с улыбкою а знаю,где вы остановиться спросить она потом и услышать что у анна власиевич примолвить с улыбка а знать,ADV PRON VERB VERB PRON ADV PART VERB SCONJ ADP NOUN ADJ NOUN ADP NOUN CCONJ VERB,S S C S S C S C S S S C S S C C P
1514,прощайте не говорите никому о нашей встрече,прощать не говорить никто о наш встреча,NOUN PART VERB PRON ADP DET NOUN,C S S S S S P
1515,я надеюсь что вы недолго будете ждать ответа на ваше письмо,я надеяться что вы недолго быть ждать ответ на ваш письмо,PRON VERB SCONJ PRON ADV AUX VERB NOUN ADP DET NOUN,S C S S S S S S S S P
1516,с этим словом она встала и вошла в крытую аллею а марья ивановна возвратилась к анне власьевне исполненная радостной надежды,с это слово она встать и войти в крытый аллея а марья иванович возвратиться к анне власиевич исполнить радостный надежда,ADP DET NOUN PRON VERB CCONJ VERB ADP ADJ NOUN CCONJ NOUN NOUN VERB ADP NOUN NOUN VERB ADJ NOUN,S S S S S S S S S C S S S S S S C S S P
1517,хозяйка побранила ее за раннюю осеннюю прогулку вредную по ее словам для здоровья молодой девушки,хозяйка побранить она за ранний осенний прогулка вредный по ее слово для здоровье молодой девушка,NOUN VERB PRON ADP ADJ ADJ NOUN ADJ ADP DET NOUN ADP NOUN ADJ NOUN,S S S S S S C C S S C S S S P
1518,ахти господи закричала она,ахти господи закричать она,PART PART VERB PRON,S C S P
1519,да как же вы матушка представитесь к императрице,да как же вы матушка представиться к императрица,CCONJ ADV PART PRON NOUN VERB ADP NOUN,S S S C C S S Q
1520,вы я чай и ступить по-придворному не умеете,вы я чай и ступить по-придворному не уметь,PRON PRON NOUN CCONJ VERB VERB PART VERB,C S C S S S S P
1521,камер-лакей объявил что государыне угодно было чтоб марья ивановна ехала одна и в том в чем ее застанут,камер-лакей объявить что государыня угодно быть чтоб марья иванович ехать один и в тот в что ее застать,NOUN VERB SCONJ NOUN ADV AUX SCONJ NOUN NOUN VERB DET CCONJ ADP PRON ADP PRON DET VERB,S C S S S C S S S S S S S C S S S P
1522,делать было нечего марья ивановна села в карету и поехала во дворец сопровождаемая советами и благословениями анны власьевны,делать быть нечего марья иванович сесть в карета и поехать в дворец сопровождать совет и благословение анна власиевич,VERB AUX VERB NOUN NOUN VERB ADP NOUN CCONJ VERB ADP NOUN VERB NOUN CCONJ NOUN NOUN NOUN,S S C S S S S S S S S C S S S S S P
1523,марья ивановна предчувствовала решение нашей судьбы сердце ее сильно билось и замирало,марья иванович предчувствовать решение наш судьба сердце ее сильно биться и замирать,NOUN NOUN VERB NOUN DET NOUN NOUN DET ADV VERB CCONJ ADJ,S S S S S C S S S S S P
1524,она прошла длинный ряд пустых великолепных комнат камер-лакей указывал дорогу,она пройти длинный ряд пустой великолепный комната камер-лакей указывать дорога,PRON VERB ADJ NOUN ADJ ADJ NOUN NOUN VERB NOUN,S S S S S S C S S P
1525,наконец подошед к запертым дверям он объявил что сейчас об ней доложит и оставил ее одну,наконец подошед к запереть дверь он объявить что сейчас о она доложить и оставить ее один,ADV VERB ADP ADJ NOUN PRON VERB SCONJ ADV ADP PRON VERB CCONJ VERB DET NUM,C S S S C S C S S S S C S S S P
1526,мысль увидеть императрицу лицом к лицу так устрашала ее что она с трудом могла держаться на ногах,мысль увидеть императрица лицо к лицо так устрашать она что она с труд мочь держаться на нога,NOUN VERB VERB NOUN ADP NOUN ADV VERB PRON SCONJ PRON ADP NOUN VERB VERB ADP NOUN,S S S S S S S S C S S S S S S S P
1527,через минуту двери отворились и она вошла в уборную государыни,через минута дверь отвориться и она войти в уборная государыня,ADP NOUN NOUN VERB CCONJ PRON VERB ADP NOUN NOUN,S S S C S S S S S P
1528,государыня ласково к ней обратилась и марья ивановна узнала в ней ту даму с которой так откровенно изъяснялась она несколько минут тому назад,государыня ласково к она обратиться и марья иванович узнать в она тот дама с который так откровенно изъясняться она несколько минута тот назад,NOUN ADV ADP PRON VERB PART NOUN NOUN VERB ADP PRON DET NOUN ADP PRON ADV ADV VERB PRON NUM NOUN PRON ADV,S S S S C S S S S S S S C S S S S S S S S S P
1529,государыня подозвала ее и сказала с улыбкою я рада что могла сдержать вам свое слово и исполнить вашу просьбу,государыня подозвать она и сказать с улыбка я рад что мочь сдержать вы свой слово и исполнить ваш просьба,NOUN VERB PRON CCONJ VERB ADP NOUN PRON ADJ PRON VERB VERB PRON DET NOUN CCONJ VERB DET NOUN,S S S S S S C S C S S S S S S S S S P
1530,вот письмо которое сами потрудитесь отвезти к будущему свекру,вот письмо который сам потрудиться отвезти к будущий свекор,PART NOUN PRON ADJ NOUN VERB ADP ADJ NOUN,S C S S S S S S P
1531,марья ивановна приняла письмо дрожащею рукою и заплакав упала к ногам императрицы которая подняла ее и поцеловала,марья иванович принять письмо дрожать рука и заплакав упасть к нога императрица который поднять она и поцеловать,NOUN NOUN VERB NOUN ADJ NOUN CCONJ NOUN VERB ADP NOUN NOUN PRON VERB PRON CCONJ VERB,S S S S S S C C S S S C S S S S P
1532,знаю что вы не богаты сказала она но я в долгу перед дочерью капитана миронова,знать что вы не богатый сказать она но я в долг перед дочь капитан миронов,VERB SCONJ PRON PART ADJ VERB PRON CCONJ PRON ADP NOUN ADP NOUN NOUN NOUN,C S S S C S C S S S S S S S P
1533,обласкав бедную сироту государыня ее отпустила,обласкав бедный сирота государыня она отпустить,ADJ ADJ VERB VERB PRON VERB,S S C S S P
1534,анна власьевна нетерпеливо ожидавшая ее возвращения осыпала ее вопросами на которые марья ивановна отвечала кое-как,анна власиевич нетерпеливо ожидать ее возвращение осыпала ее вопрос на который марья иванович отвечать кое-как,NOUN NOUN ADV VERB DET NOUN NOUN DET NOUN ADP PRON NOUN NOUN VERB ADV,S C S S S C S S C S S S S S P
1535,анна власьевна хотя и была недовольна ее беспамятством но приписала оное провинциальной застенчивости и извинила великодушно,анна власиевич хотя и быть недовольный ее беспамятство но приписать оный провинциальный застенчивость и извинила великодушно,NOUN ADJ SCONJ PART AUX ADJ DET NOUN CCONJ VERB NOUN ADJ NOUN CCONJ NOUN ADV,S S S S S S S C S S S S S S S P
1536,в тот же день марья ивановна не полюбопытствовав взглянуть на петербург обратно поехала в деревню,в тот же день марья иванович не полюбопытствовать взглянуть на петербург обратно поехать в деревня,ADP DET PART NOUN NOUN NOUN PART VERB VERB ADP NOUN ADV VERB ADP NOUN,S S S S S C S S S S C S S S P
1537,в тридцати верстах от находится село принадлежащее десятерым помещикам,в тридцать верста от находиться село принадлежать десятеро помещик,ADP NUM NOUN ADP VERB NOUN VERB NOUN NOUN,S S S S S C S S P
1538,рукопись петра андреевича гринева доставлена была нам от одного из его внуков который узнал что мы заняты были трудом относящимся ко временам описанным его дедом,рукопись петр андреевич гринев доставить быть мы от один из он внук который узнать что мы занять быть труд относиться к время описать он дед,NOUN NOUN NOUN NOUN VERB AUX PRON ADP NUM ADP PRON NOUN PRON VERB SCONJ PRON VERB AUX NOUN VERB ADP NOUN VERB PRON NOUN,S S S S S S S S S S S C S C S S S S C S S C S S P
1539,мы решились с разрешения родственников издать ее особо приискав к каждой главе приличный эпиграф и дозволив себе переменить некоторые собственные имена,мы решиться с разрешение родственник издать она особо приискав к каждый глава приличный эпиграф и дозволив себя переменить некоторый собственный имя,PRON VERB ADP NOUN NOUN VERB PRON ADV ADJ ADP DET NOUN ADJ NOUN CCONJ ADJ PRON VERB DET ADJ NOUN,S C S S C S S C S S S S S S S S S S S S P
1540,приложение пропущенная глава мы приближались к берегам волги полк наш вступил в деревню и остановился в ней ночевать,приложение пропустить глава мы приближаться к берег волга полк наш вступить в деревня и остановиться в она ночевать,NOUN VERB NOUN PRON VERB ADP NOUN NOUN NOUN DET VERB ADP NOUN CCONJ VERB ADP PRON VERB,S S S S S S S C S S S S S S S S S P
1541,староста объявил мне что на той стороне все деревни взбунтовались шайки пугачевские бродят везде,староста объявить я что на тот сторона весь деревня взбунтоваться шайка пугачевский бродить везде,NOUN VERB PRON SCONJ ADP DET NOUN DET NOUN VERB NOUN NOUN VERB ADV,S S C S S S S S S C S S S P
1542,я спросил не сыщется ли перевозчика,я спросить не сыскаться ли перевозчик,PRON VERB PART VERB PART NOUN,S C S S S P
1543,все крестьяне были рыболовы лодок было много,весь крестьянин быть рыболов лодка быть много,DET NOUN AUX NOUN NOUN AUX ADV,S S S C S S P
1544,берегись сказал он мне,беречься сказать он я,NOUN VERB PRON PRON,C S S P
1545,погода была тихая волга неслась ровно и спокойно,погода быть тихий волга нестись ровно и спокойно,NOUN AUX ADJ NOUN VERB ADV CCONJ ADV,S S C S S S S P
1546,лодка плавно качаясь быстро скользила по темным волнам,лодка плавно качаться быстро скользить по темный волна,NOUN ADV VERB ADV VERB ADP ADJ NOUN,C S C S S S S P
1547,что такое спросил я очнувшись,что такой спросить я очнуться,SCONJ DET VERB PRON VERB,S C S C P
1548,не знаем бог весть отвечали гребцы смотря в одну сторону,не знать бог весть отвечать гребец смотря в один сторона,PART VERB NOUN NOUN VERB NOUN ADV ADP DET NOUN,S C S C S C S S S P
1549,глаза мои приняли то же направление и я увидел в сумраке что-то плывшее вниз по волге,глаз мой принять тот же направление и я увидеть в сумрак что-то плыть вниз по волга,NOUN DET VERB DET PART NOUN CCONJ PRON VERB ADP NOUN PRON VERB ADV ADP NOUN,S S S S S C S S S S S S S S S P
